Ziehungstag;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Stern1;Stern2;Rang;Zahlen;Sterne;Europa;Österreich;Quoten;
;;;;;;;;4;4;2;          55;           3;       1.042,50;
;;;;;;;;5;4;1;       1.014;          49;         104,10;
;;;;;;;;6;3;2;       2.788;         130;          40,00;
;;;;;;;;7;4;0;       2.309;         122;          33,90;
;;;;;;;;8;2;2;      37.098;       1.733;          10,50;
;;;;;;;;9;3;1;      48.894;       2.343;           8,90;
;;;;;;;;10;3;0;     102.946;       5.474;           7,90;
;;;;;;;;11;1;2;     178.225;       8.896;           5,50;
;;;;;;;;12;2;1;     663.338;      34.027;           4,60;
;;;;;;;;13;2;0;   1.378.289;      75.231;           3,60;
Fr. 06.09.2024;12;14;34;41;47;3;4;1;5;2;           1;           0; 149.017.789,00;
;;;;;;;;2;5;1;           4;           0;     257.427,90;
;;;;;;;;3;5;0;           7;           0;      34.380,00;
;;;;;;;;4;4;2;          55;           3;       1.362,90;
;;;;;;;;5;4;1;       1.022;          58;         135,10;
;;;;;;;;6;3;2;       2.111;         124;          69,10;
;;;;;;;;7;4;0;       2.061;         120;          49,70;
;;;;;;;;8;2;2;      31.655;       1.748;          16,20;
;;;;;;;;9;3;1;      46.435;       2.395;          12,30;
;;;;;;;;10;3;0;      96.179;       5.288;          11,00;
;;;;;;;;11;1;2;     175.554;       9.359;           7,30;
;;;;;;;;12;2;1;     717.046;      36.814;           5,60;
;;;;;;;;13;2;0;   1.470.121;      78.122;           4,40;
Di. 10.09.2024;6;29;46;47;48;2;9;1;5;2;JP;JP;  17.000.000,00;
;;;;;;;;2;5;1;           1;           0;     484.860,80;
;;;;;;;;3;5;0;           6;           0;      18.886,60;
;;;;;;;;4;4;2;          13;           0;       2.715,10;
;;;;;;;;5;4;1;         357;          17;         182,10;
;;;;;;;;6;3;2;         954;          44;          72,00;
;;;;;;;;7;4;0;         811;          33;          59,50;
;;;;;;;;8;2;2;      15.401;         786;          15,60;
;;;;;;;;9;3;1;      18.241;       1.040;          14,70;
;;;;;;;;10;3;0;      40.170;       2.222;          12,40;
;;;;;;;;11;1;2;      93.391;       4.476;           6,50;
;;;;;;;;12;2;1;     290.184;      14.922;           6,50;
;;;;;;;;13;2;0;     629.021;      32.950;           4,80;
Fr. 13.09.2024;10;15;17;31;42;4;12;1;5;2;JP;JP;  31.511.704,30;
;;;;;;;;2;5;1;           3;           0;     252.503,60;
;;;;;;;;3;5;0;           5;           1;      35.408,50;
;;;;;;;;4;4;2;          23;           0;       2.397,50;
;;;;;;;;5;4;1;         749;          21;         135,60;
;;;;;;;;6;3;2;       1.516;          72;          70,80;
;;;;;;;;7;4;0;       2.144;          55;          35,10;
;;;;;;;;8;2;2;      21.197;         873;          17,70;
;;;;;;;;9;3;1;      35.525;       1.261;          11,80;
;;;;;;;;10;3;0;      94.256;       3.248;           8,30;
;;;;;;;;11;1;2;     111.292;       4.450;           8,50;
;;;;;;;;12;2;1;     509.083;      18.744;           5,80;
;;;;;;;;13;2;0;   1.330.865;      45.688;           3,60;
Di. 17.09.2024;20;30;32;41;44;1;10;1;5;2;JP;JP;  41.391.923,00;
;;;;;;;;2;5;1;           0;           0;wird dem Rang 5+0 zugeschlagen;
;;;;;;;;3;5;0;           4;           0;     159.071,50;
;;;;;;;;4;4;2;          19;           1;       1.976,00;
;;;;;;;;5;4;1;         460;          28;         150,30;
;;;;;;;;6;3;2;         917;          72;          79,70;
;;;;;;;;7;4;0;       1.158;          51;          44,30;
;;;;;;;;8;2;2;      13.868;         877;          18,50;
;;;;;;;;9;3;1;      20.774;       1.198;          13,70;
;;;;;;;;10;3;0;      49.650;       2.589;          10,70;
;;;;;;;;11;1;2;      73.056;       4.563;           8,80;
;;;;;;;;12;2;1;     296.919;      16.283;           6,80;
;;;;;;;;13;2;0;     752.833;      38.940;           4,30;
Fr. 20.09.2024;16;25;29;34;37;3;7;1;5;2;JP;JP;  54.712.555,10;
;;;;;;;;2;5;1;           3;           0;     231.778,90;
;;;;;;;;3;5;0;          13;           1;      12.500,90;
;;;;;;;;4;4;2;          54;           1;         937,30;
;;;;;;;;5;4;1;         752;          34;         123,90;
;;;;;;;;6;3;2;       2.608;         104;          37,70;
;;;;;;;;7;4;0;       1.537;          56;          45,00;
;;;;;;;;8;2;2;      37.366;       1.361;           9,20;
;;;;;;;;9;3;1;      34.527;       1.521;          11,10;
;;;;;;;;10;3;0;      68.306;       3.283;          10,50;
;;;;;;;;11;1;2;     207.694;       7.192;           4,10;
;;;;;;;;12;2;1;     502.378;      22.309;           5,40;
;;;;;;;;13;2;0;     994.624;      47.202;           4,40;
Di. 24.09.2024;18;20;21;36;49;3;5;1;5;2;JP;JP;  65.337.927,00;
;;;;;;;;2;5;1;           4;           0;     138.661,10;
;;;;;;;;3;5;0;           2;           0;      64.814,70;
;;;;;;;;4;4;2;          25;           2;       1.615,00;
;;;;;;;;5;4;1;         535;          33;         139,00;
;;;;;;;;6;3;2;       1.429;          74;          55,00;
;;;;;;;;7;4;0;       1.096;          54;          50,40;
;;;;;;;;8;2;2;      22.528;       1.108;          12,20;
;;;;;;;;9;3;1;      24.809;       1.467;          12,40;
;;;;;;;;10;3;0;      51.717;       3.168;          11,00;
;;;;;;;;11;1;2;     129.548;       5.989;           5,30;
;;;;;;;;12;2;1;     400.108;      21.572;           5,40;
;;;;;;;;13;2;0;     793.593;      46.591;           4,40;
Fr. 27.09.2024;7;20;21;27;38;5;12;1;5;2;JP;JP; 130.000.000,00;
;;;;;;;;2;5;1;           3;           0;     416.328,80;
;;;;;;;;3;5;0;          18;           0;      16.217,10;
;;;;;;;;4;4;2;          68;           6;       1.337,00;
;;;;;;;;5;4;1;       1.478;          91;         113,30;
;;;;;;;;6;3;2;       2.773;         180;          63,80;
;;;;;;;;7;4;0;       3.682;         182;          33,70;
;;;;;;;;8;2;2;      39.401;       2.389;          15,70;
;;;;;;;;9;3;1;      67.092;       3.582;          10,30;
;;;;;;;;10;3;0;     164.809;       8.266;           7,80;
;;;;;;;;11;1;2;     199.805;      11.997;           7,80;
;;;;;;;;12;2;1;     940.455;      49.987;           5,20;
;;;;;;;;13;2;0;   2.273.779;     115.735;           3,40;
Di. 01.10.2024;8;22;29;41;42;9;11;1;5;2;JP;JP; 143.969.598,80;
;;;;;;;;2;5;1;           7;           0;     124.015,80;
;;;;;;;;3;5;0;          10;           1;      20.289,10;
;;;;;;;;4;4;2;          46;           1;       1.373,80;
;;;;;;;;5;4;1;         846;          59;         137,60;
;;;;;;;;6;3;2;       1.791;          91;          68,70;
;;;;;;;;7;4;0;       2.087;         143;          41,40;
;;;;;;;;8;2;2;      26.227;       1.544;          16,40;
;;;;;;;;9;3;1;      40.760;       2.436;          11,80;
;;;;;;;;10;3;0;      93.991;       5.660;           9,50;
;;;;;;;;11;1;2;     141.713;       8.609;           7,60;
;;;;;;;;12;2;1;     587.531;      33.945;           5,80;
;;;;;;;;13;2;0;   1.358.844;      77.448;           4,00;
Fr. 04.10.2024;4;8;16;17;20;1;6;1;5;2;           1;           0; 162.256.512,00;
;;;;;;;;2;5;1;          12;           1;      94.700,00;
;;;;;;;;3;5;0;          20;           0;      13.279,70;
;;;;;;;;4;4;2;          97;           4;         852,80;
;;;;;;;;5;4;1;       1.811;          74;          84,10;
;;;;;;;;6;3;2;       3.444;         185;          46,70;
;;;;;;;;7;4;0;       4.613;         166;          24,50;
;;;;;;;;8;2;2;      43.110;       2.240;          13,10;
;;;;;;;;9;3;1;      68.777;       2.989;           9,10;
;;;;;;;;10;3;0;     167.492;       7.166;           7,00;
;;;;;;;;11;1;2;     204.256;      10.913;           6,90;
;;;;;;;;12;2;1;     870.340;      42.050;           5,10;
;;;;;;;;13;2;0;   2.086.207;      96.702;           3,40;
Di. 08.10.2024;7;14;19;34;40;6;8;1;5;2;JP;JP;  17.000.000,00;
;;;;;;;;2;5;1;           4;           0;     122.519,20;
;;;;;;;;3;5;0;           7;           0;      16.362,70;
;;;;;;;;4;4;2;          31;           2;       1.150,80;
;;;;;;;;5;4;1;         533;          17;         123,30;
;;;;;;;;6;3;2;       1.313;          42;          52,90;
;;;;;;;;7;4;0;       1.279;          76;          38,10;
;;;;;;;;8;2;2;      19.378;         834;          12,50;
;;;;;;;;9;3;1;      25.616;       1.222;          10,60;
;;;;;;;;10;3;0;      56.697;       2.784;           8,90;
;;;;;;;;11;1;2;     100.095;       4.581;           6,10;
;;;;;;;;12;2;1;     372.862;      17.784;           5,10;
;;;;;;;;13;2;0;     821.666;      39.561;           3,70;
Fr. 11.10.2024;16;23;32;46;49;4;5;1;5;2;JP;JP;  29.821.152,30;
;;;;;;;;2;5;1;           3;           0;     223.088,00;
;;;;;;;;3;5;0;           6;           1;      26.069,60;
;;;;;;;;4;4;2;          30;           1;       1.624,00;
;;;;;;;;5;4;1;         738;          25;         121,60;
;;;;;;;;6;3;2;       1.369;          53;          69,30;
;;;;;;;;7;4;0;       1.437;          55;          46,30;
;;;;;;;;8;2;2;      20.133;         758;          16,50;
;;;;;;;;9;3;1;      31.194;       1.263;          11,90;
;;;;;;;;10;3;0;      64.209;       2.699;          10,70;
;;;;;;;;11;1;2;     112.915;       4.871;           7,40;
;;;;;;;;12;2;1;     463.749;      18.279;           5,60;
;;;;;;;;13;2;0;     946.037;      40.249;           4,40;
Di. 15.10.2024;2;15;32;36;48;3;9;1;5;2;JP;JP;  39.530.015,20;
;;;;;;;;2;5;1;           1;           0;     506.802,60;
;;;;;;;;3;5;0;           5;           0;      23.689,60;
;;;;;;;;4;4;2;          27;           1;       1.366,40;
;;;;;;;;5;4;1;         481;          20;         141,20;
;;;;;;;;6;3;2;       1.221;          65;          58,80;
;;;;;;;;7;4;0;       1.035;          61;          48,70;
;;;;;;;;8;2;2;      19.239;         939;          13,10;
;;;;;;;;9;3;1;      21.401;       1.126;          13,10;
;;;;;;;;10;3;0;      45.553;       2.339;          11,50;
;;;;;;;;11;1;2;     113.067;       5.566;           5,60;
;;;;;;;;12;2;1;     328.382;      16.986;           6,00;
;;;;;;;;13;2;0;     692.194;      36.943;           4,60;
Fr. 18.10.2024;4;15;23;30;39;1;12;1;5;2;JP;JP;  53.040.810,30;
;;;;;;;;2;5;1;           2;           0;     352.631,70;
;;;;;;;;3;5;0;           6;           0;      27.471,90;
;;;;;;;;4;4;2;          35;           2;       1.466,80;
;;;;;;;;5;4;1;         706;          28;         133,90;
;;;;;;;;6;3;2;       1.479;          83;          67,50;
;;;;;;;;7;4;0;       2.170;          81;          32,30;
;;;;;;;;8;2;2;      20.021;         929;          17,50;
;;;;;;;;9;3;1;      30.918;       1.491;          12,60;
;;;;;;;;10;3;0;      94.852;       3.680;           7,60;
;;;;;;;;11;1;2;     107.220;       5.584;           8,20;
;;;;;;;;12;2;1;     432.047;      20.854;           6,40;
;;;;;;;;13;2;0;   1.256.893;      52.128;           3,50;
Di. 22.10.2024;3;13;27;30;46;1;2;1;5;2;JP;JP;  63.353.583,10;
;;;;;;;;2;5;1;           2;           0;     269.163,30;
;;;;;;;;3;5;0;           9;           0;      13.979,50;
;;;;;;;;4;4;2;          24;           1;       1.632,80;
;;;;;;;;5;4;1;         705;          32;         102,30;
;;;;;;;;6;3;2;       1.155;          53;          66,00;
;;;;;;;;7;4;0;       1.695;          78;          31,60;
;;;;;;;;8;2;2;      16.432;       1.034;          16,30;
;;;;;;;;9;3;1;      29.417;       1.391;          10,10;
;;;;;;;;10;3;0;      69.726;       3.163;           7,90;
;;;;;;;;11;1;2;      85.273;       5.322;           7,90;
;;;;;;;;12;2;1;     402.090;      20.204;           5,20;
;;;;;;;;13;2;0;     930.745;      45.134;           3,60;
Fr. 25.10.2024;4;17;20;25;45;8;9;1;5;2;JP;JP;  76.313.061,90;
;;;;;;;;2;5;1;           2;           0;     402.669,50;
;;;;;;;;3;5;0;           7;           0;      26.888,70;
;;;;;;;;4;4;2;          40;           3;       1.465,60;
;;;;;;;;5;4;1;       1.014;          28;         106,50;
;;;;;;;;6;3;2;       1.724;          64;          66,20;
;;;;;;;;7;4;0;       2.069;          87;          38,70;
;;;;;;;;8;2;2;      25.930;       1.076;          15,40;
;;;;;;;;9;3;1;      45.365;       1.663;           9,80;
;;;;;;;;10;3;0;      94.572;       3.557;           8,80;
;;;;;;;;11;1;2;     131.896;       5.630;           7,60;
;;;;;;;;12;2;1;     630.402;      24.199;           5,00;
;;;;;;;;13;2;0;   1.321.965;      52.955;           3,80;
Di. 29.10.2024;1;2;19;30;45;10;12;1;5;2;JP;JP;  85.747.958,40;
;;;;;;;;2;5;1;           2;           0;     293.155,70;
;;;;;;;;3;5;0;           3;           0;      45.676,80;
;;;;;;;;4;4;2;          23;           0;       1.855,70;
;;;;;;;;5;4;1;         478;          22;         164,40;
;;;;;;;;6;3;2;       1.027;          51;          80,90;
;;;;;;;;7;4;0;       1.368;          76;          42,60;
;;;;;;;;8;2;2;      15.437;         868;          18,90;
;;;;;;;;9;3;1;      22.908;       1.282;          14,20;
;;;;;;;;10;3;0;      65.223;       3.260;           9,20;
;;;;;;;;11;1;2;      81.020;       4.740;           9,00;
;;;;;;;;12;2;1;     342.322;      19.138;           6,70;
;;;;;;;;13;2;0;     984.152;      48.494;           3,70;
Fr. 01.11.2024;7;33;38;44;50;2;7;1;5;2;JP;JP;  98.005.009,20;
;;;;;;;;2;5;1;           5;           0;     152.337,60;
;;;;;;;;3;5;0;           4;           1;      44.504,70;
;;;;;;;;4;4;2;          50;           1;       1.108,90;
;;;;;;;;5;4;1;         701;          43;         145,70;
;;;;;;;;6;3;2;       2.297;         124;          47,00;
;;;;;;;;7;4;0;       1.589;         107;          47,70;
;;;;;;;;8;2;2;      33.152;       1.512;          11,40;
;;;;;;;;9;3;1;      39.237;       1.803;          10,70;
;;;;;;;;10;3;0;      77.972;       3.707;          10,10;
;;;;;;;;11;1;2;     184.689;       7.447;           5,10;
;;;;;;;;12;2;1;     567.133;      25.714;           5,30;
;;;;;;;;13;2;0;   1.113.984;      54.318;           4,30;
Di. 05.11.2024;1;8;19;37;50;6;9;1;5;2;JP;JP; 109.544.200,70;
;;;;;;;;2;5;1;           6;           0;     119.513,00;
;;;;;;;;3;5;0;           8;           1;      20.949,10;
;;;;;;;;4;4;2;          44;           5;       1.186,30;
;;;;;;;;5;4;1;         870;          32;         110,50;
;;;;;;;;6;3;2;       1.882;          98;          54,00;
;;;;;;;;7;4;0;       1.846;         122;          38,60;
;;;;;;;;8;2;2;      27.255;       1.478;          13,10;
;;;;;;;;9;3;1;      35.363;       2.043;          11,20;
;;;;;;;;10;3;0;      80.046;       4.844;           9,20;
;;;;;;;;11;1;2;     146.834;       7.578;           6,10;
;;;;;;;;12;2;1;     501.357;      28.780;           5,60;
;;;;;;;;13;2;0;   1.128.830;      65.400;           4,00;
Fr. 08.11.2024;2;33;35;42;48;1;3;1;5;2;JP;JP; 124.837.601,00;
;;;;;;;;2;5;1;           3;           0;     316.791,80;
;;;;;;;;3;5;0;          12;           0;      18.509,80;
;;;;;;;;4;4;2;          39;           1;       1.773,90;
;;;;;;;;5;4;1;         811;          38;         157,10;
;;;;;;;;6;3;2;       1.816;          94;          74,10;
;;;;;;;;7;4;0;       1.838;         107;          51,50;
;;;;;;;;8;2;2;      27.240;       1.600;          17,30;
;;;;;;;;9;3;1;      38.734;       2.056;          13,60;
;;;;;;;;10;3;0;      87.064;       4.640;          11,20;
;;;;;;;;11;1;2;     157.954;       8.456;           7,50;
;;;;;;;;12;2;1;     594.236;      31.075;           6,30;
;;;;;;;;13;2;0;   1.340.773;      69.234;           4,50;
Di. 12.11.2024;10;11;12;22;50;1;10;1;5;2;JP;JP; 137.211.025,90;
;;;;;;;;2;5;1;           3;           0;     256.306,60;
;;;;;;;;3;5;0;          12;           1;      14.975,70;
;;;;;;;;4;4;2;          41;           2;       1.365,20;
;;;;;;;;5;4;1;         910;          41;         113,30;
;;;;;;;;6;3;2;       1.827;         117;          59,60;
;;;;;;;;7;4;0;       2.292;         123;          33,40;
;;;;;;;;8;2;2;      24.670;       1.580;          15,50;
;;;;;;;;9;3;1;      39.940;       2.166;          10,60;
;;;;;;;;10;3;0;      98.242;       5.098;           8,00;
;;;;;;;;11;1;2;     119.027;       7.334;           8,00;
;;;;;;;;12;2;1;     545.032;      31.073;           5,50;
;;;;;;;;13;2;0;   1.394.060;      72.504;           3,50;
Fr. 15.11.2024;7;8;34;39;44;2;6;1;5;2;JP;JP; 153.801.394,60;
;;;;;;;;2;5;1;           1;           0;   1.030.972,90;
;;;;;;;;3;5;0;           9;           0;      26.772,80;
;;;;;;;;4;4;2;          51;           4;       1.471,60;
;;;;;;;;5;4;1;         821;          42;         168,30;
;;;;;;;;6;3;2;       2.331;         136;          62,60;
;;;;;;;;7;4;0;       1.870;         111;          54,90;
;;;;;;;;8;2;2;      38.936;       1.919;          13,10;
;;;;;;;;9;3;1;      45.700;       2.452;          12,50;
;;;;;;;;10;3;0;     100.728;       5.565;          10,50;
;;;;;;;;11;1;2;     215.347;      10.169;           5,90;
;;;;;;;;12;2;1;     723.305;      36.328;           5,60;
;;;;;;;;13;2;0;   1.612.654;      82.308;           4,00;
Di. 19.11.2024;4;13;20;28;49;7;12;1;5;2;JP;JP; 167.885.087,60;
;;;;;;;;2;5;1;           2;           0;     437.600,40;
;;;;;;;;3;5;0;          11;           2;      18.595,30;
;;;;;;;;4;4;2;          54;           2;       1.179,80;
;;;;;;;;5;4;1;       1.110;          62;         105,70;
;;;;;;;;6;3;2;       2.142;         123;          57,90;
;;;;;;;;7;4;0;       2.307;         135;          37,70;
;;;;;;;;8;2;2;      28.642;       1.688;          15,20;
;;;;;;;;9;3;1;      45.762;       2.535;          10,60;
;;;;;;;;10;3;0;     105.496;       5.871;           8,50;
;;;;;;;;11;1;2;     141.623;       8.499;           7,70;
;;;;;;;;12;2;1;     638.935;      35.377;           5,40;
;;;;;;;;13;2;0;   1.464.889;      82.935;           3,70;
Fr. 22.11.2024;10;11;12;29;31;8;11;1;5;2;JP;JP; 194.669.132,50;
;;;;;;;;2;5;1;          11;           0;     151.312,40;
;;;;;;;;3;5;0;          27;           2;      14.407,60;
;;;;;;;;4;4;2;          93;           5;       1.302,80;
;;;;;;;;5;4;1;       2.182;         109;         102,20;
;;;;;;;;6;3;2;       3.916;         181;          60,20;
;;;;;;;;7;4;0;       5.351;         234;          30,90;
;;;;;;;;8;2;2;      56.732;       2.781;          14,60;
;;;;;;;;9;3;1;      90.710;       4.324;          10,10;
;;;;;;;;10;3;0;     217.100;      10.086;           7,90;
;;;;;;;;11;1;2;     295.013;      15.116;           7,00;
;;;;;;;;12;2;1;   1.246.775;      60.903;           5,20;
;;;;;;;;13;2;0;   2.931.777;     137.287;           3,60;
Di. 26.11.2024;7;11;25;31;40;9;12;1;5;2;           1;           0; 212.448.937,00;
;;;;;;;;2;5;1;          15;           1;      73.659,10;
;;;;;;;;3;5;0;          14;           0;      18.445,00;
;;;;;;;;4;4;2;          55;           4;       1.462,40;
;;;;;;;;5;4;1;       1.492;          89;          99,30;
;;;;;;;;6;3;2;       2.400;         150;          65,20;
;;;;;;;;7;4;0;       3.462;         149;          31,70;
;;;;;;;;8;2;2;      33.051;       2.097;          16,60;
;;;;;;;;9;3;1;      57.385;       3.128;          10,60;
;;;;;;;;10;3;0;     144.615;       7.150;           7,90;
;;;;;;;;11;1;2;     168.815;      10.877;           8,20;
;;;;;;;;12;2;1;     781.193;      43.213;           5,50;
;;;;;;;;13;2;0;   1.953.020;     102.398;           3,50;
Fr. 29.11.2024;8;17;18;29;43;5;9;1;5;2;JP;JP;  17.000.000,00;
;;;;;;;;2;5;1;           4;           0;     171.105,20;
;;;;;;;;3;5;0;           6;           2;      26.660,00;
;;;;;;;;4;4;2;          46;           3;       1.083,10;
;;;;;;;;5;4;1;         936;          57;          98,00;
;;;;;;;;6;3;2;       2.459;          99;          39,40;
;;;;;;;;7;4;0;       1.883;          97;          36,20;
;;;;;;;;8;2;2;      32.798;       1.273;          10,30;
;;;;;;;;9;3;1;      39.040;       1.642;           9,70;
;;;;;;;;10;3;0;      81.499;       3.786;           8,60;
;;;;;;;;11;1;2;     164.667;       6.165;           5,20;
;;;;;;;;12;2;1;     545.804;      23.343;           4,90;
;;;;;;;;13;2;0;   1.123.038;      50.361;           3,80;
Di. 03.12.2024;23;25;34;46;47;6;8;1;5;2;JP;JP;  27.018.616,30;
;;;;;;;;2;5;1;           0;           0;wird dem Rang 5+0 zugeschlagen;
;;;;;;;;3;5;0;           5;           1;     129.039,70;
;;;;;;;;4;4;2;          21;           0;       1.812,80;
;;;;;;;;5;4;1;         443;          28;         158,30;
;;;;;;;;6;3;2;       1.158;          47;          64,00;
;;;;;;;;7;4;0;         967;          49;          53,80;
;;;;;;;;8;2;2;      17.740;         818;          14,60;
;;;;;;;;9;3;1;      21.694;       1.106;          13,30;
;;;;;;;;10;3;0;      46.965;       2.414;          11,50;
;;;;;;;;11;1;2;     100.698;       4.528;           6,50;
;;;;;;;;12;2;1;     338.553;      17.177;           6,00;
;;;;;;;;13;2;0;     736.296;      38.058;           4,50;
Fr. 06.12.2024;14;25;39;44;47;6;10;1;5;2;JP;JP;  40.367.383,60;
;;;;;;;;2;5;1;           0;           0;wird dem Rang 5+0 zugeschlagen;
;;;;;;;;3;5;0;          11;           0;      78.150,90;
;;;;;;;;4;4;2;          39;           0;       1.300,60;
;;;;;;;;5;4;1;         608;          33;         153,60;
;;;;;;;;6;3;2;       1.415;          79;          69,80;
;;;;;;;;7;4;0;       1.479;          73;          46,90;
;;;;;;;;8;2;2;      20.745;         989;          16,70;
;;;;;;;;9;3;1;      28.649;       1.289;          13,50;
;;;;;;;;10;3;0;      69.227;       3.170;          10,40;
;;;;;;;;11;1;2;     112.234;       5.306;           7,70;
;;;;;;;;12;2;1;     426.665;      20.199;           6,40;
;;;;;;;;13;2;0;   1.025.701;      46.779;           4,30;
Di. 10.12.2024;5;24;25;29;47;5;9;1;5;2;JP;JP;  50.987.545,30;
;;;;;;;;2;5;1;           1;           0;     554.372,40;
;;;;;;;;3;5;0;           3;           1;      43.188,60;
;;;;;;;;4;4;2;          30;           0;       1.345,20;
;;;;;;;;5;4;1;         596;          38;         124,70;
;;;;;;;;6;3;2;       1.816;          76;          43,20;
;;;;;;;;7;4;0;       1.118;          70;          49,30;
;;;;;;;;8;2;2;      27.028;       1.188;          10,20;
;;;;;;;;9;3;1;      28.922;       1.437;          10,60;
;;;;;;;;10;3;0;      56.637;       3.017;          10,10;
;;;;;;;;11;1;2;     136.199;       6.109;           5,00;
;;;;;;;;12;2;1;     434.741;      21.447;           5,00;
;;;;;;;;13;2;0;     859.369;      45.177;           4,10;
Fr. 13.12.2024;1;15;25;42;50;4;10;1;5;2;JP;JP;  67.852.508,80;
;;;;;;;;2;5;1;           1;           0;     880.351,00;
;;;;;;;;3;5;0;           9;           0;      22.861,30;
;;;;;;;;4;4;2;          46;           0;       1.393,10;
;;;;;;;;5;4;1;         805;          29;         146,60;
;;;;;;;;6;3;2;       1.775;          75;          70,30;
;;;;;;;;7;4;0;       2.226;          96;          39,30;
;;;;;;;;8;2;2;      26.101;       1.154;          16,70;
;;;;;;;;9;3;1;      37.914;       1.731;          12,80;
;;;;;;;;10;3;0;      94.973;       3.987;           9,50;
;;;;;;;;11;1;2;     143.323;       6.397;           7,60;
;;;;;;;;12;2;1;     556.232;      24.074;           6,20;
;;;;;;;;13;2;0;   1.372.521;      55.478;           4,00;
Di. 17.12.2024;1;3;4;21;29;2;7;1;5;2;           1;           0;  77.557.137,00;
;;;;;;;;2;5;1;           1;           1;     603.073,30;
;;;;;;;;3;5;0;           8;           0;      17.618,50;
;;;;;;;;4;4;2;          48;           1;         914,60;
;;;;;;;;5;4;1;         923;          43;          87,60;
;;;;;;;;6;3;2;       2.094;          80;          40,80;
;;;;;;;;7;4;0;       1.749;          81;          34,30;
;;;;;;;;8;2;2;      30.297;       1.365;           9,90;
;;;;;;;;9;3;1;      39.664;       1.876;           8,40;
;;;;;;;;10;3;0;      75.380;       3.918;           8,20;
;;;;;;;;11;1;2;     152.149;       7.005;           4,90;
;;;;;;;;12;2;1;     505.740;      24.429;           4,70;
;;;;;;;;13;2;0;   1.002.365;      51.940;           3,80;
Fr. 20.12.2024;10;14;21;33;50;6;9;1;5;2;JP;JP;  17.000.000,00;
;;;;;;;;2;5;1;           3;           0;     222.689,40;
;;;;;;;;3;5;0;           8;           0;      19.517,30;
;;;;;;;;4;4;2;          47;           3;       1.034,70;
;;;;;;;;5;4;1;         792;          27;         113,10;
;;;;;;;;6;3;2;       1.908;          59;          49,60;
;;;;;;;;7;4;0;       1.797;          72;          37,00;
;;;;;;;;8;2;2;      27.621;       1.079;          12,00;
;;;;;;;;9;3;1;      35.050;       1.264;          10,50;
;;;;;;;;10;3;0;      77.174;       3.292;           8,90;
;;;;;;;;11;1;2;     142.307;       5.745;           5,80;
;;;;;;;;12;2;1;     496.007;      20.022;           5,30;
;;;;;;;;13;2;0;   1.095.328;      45.287;           3,80;
Di. 24.12.2024;6;10;16;23;24;11;12;1;5;2;JP;JP;  28.754.035,70;
;;;;;;;;2;5;1;           2;           0;     306.780,30;
;;;;;;;;3;5;0;          16;           0;       8.962,40;
;;;;;;;;4;4;2;          32;           2;       1.395,70;
;;;;;;;;5;4;1;         763;          36;         107,80;
;;;;;;;;6;3;2;       1.285;          80;          67,60;
;;;;;;;;7;4;0;       2.663;         115;          22,90;
;;;;;;;;8;2;2;      16.824;         907;          18,10;
;;;;;;;;9;3;1;      30.239;       1.438;          11,20;
;;;;;;;;10;3;0;      97.631;       3.919;           6,50;
;;;;;;;;11;1;2;      85.694;       4.867;           8,90;
;;;;;;;;12;2;1;     409.663;      20.552;           5,90;
;;;;;;;;13;2;0;   1.235.083;      52.256;           3,10;
Fr. 27.12.2024;12;22;27;33;45;4;8;1;5;2;           1;           0;  41.205.363,00;
;;;;;;;;2;5;1;           5;           0;     129.991,80;
;;;;;;;;3;5;0;           9;           0;      16.878,40;
;;;;;;;;4;4;2;          60;           0;         788,50;
;;;;;;;;5;4;1;         854;          27;         102,00;
;;;;;;;;6;3;2;       2.174;         100;          42,30;
;;;;;;;;7;4;0;       1.923;          79;          33,60;
;;;;;;;;8;2;2;      29.649;       1.041;          10,90;
;;;;;;;;9;3;1;      36.455;       1.426;           9,90;
;;;;;;;;10;3;0;      80.975;       3.125;           8,30;
;;;;;;;;11;1;2;     147.394;       5.367;           5,50;
;;;;;;;;12;2;1;     496.697;      19.705;           5,10;
;;;;;;;;13;2;0;   1.098.086;      43.261;           3,70;
Di. 31.12.2024;19;24;26;28;33;8;12;1;5;2;JP;JP;  17.000.000,00;
;;;;;;;;2;5;1;           4;           0;     188.075,10;
;;;;;;;;3;5;0;          11;           2;      15.984,00;
;;;;;;;;4;4;2;          32;           2;       1.711,40;
;;;;;;;;5;4;1;         782;          43;         129,00;
;;;;;;;;6;3;2;       1.606;          58;          66,40;
;;;;;;;;7;4;0;       1.961;          77;          38,20;
;;;;;;;;8;2;2;      22.223;         961;          16,80;
;;;;;;;;9;3;1;      36.088;       1.479;          11,50;
;;;;;;;;10;3;0;      90.132;       3.386;           8,60;
;;;;;;;;11;1;2;     118.600;       5.019;           7,90;
;;;;;;;;12;2;1;     525.874;      21.366;           5,60;
;;;;;;;;13;2;0;   1.309.459;      51.117;           3,60;
